"","GupDM_A_11","GupDM_A_15","GupDM_A1","GupDM_A10","GupDM_A12","GupDM_A13","GupDM_A14","GupDM_A2","GupDM_A3","GupDM_A4","GupDM_A5","GupDM_A6","GupDM_A7","GupDM_A8","GupDM_A9","GupDM_HAG","GupDM_HAH","GupDM_HAI","GupDM_HAJ","GupDM_HAK","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HBR","GupDM_HCL","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HCP","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCU","GupDM_HCV","GupDM_HCY","GupDM_HDB","GupDM_HDF","GupDM_HP","GupDM_HR","GupDM_HS","GupDM_JA","GupDM_JB","GupDM_JC","GupDM_JD","GupDM_JE","GupDM_JG","GupDM_JH","GupDM_JI","GupDM_JJ","GupDM_JK","GupDM_JL","GupDM_JM","GupDM_JN","GupDM_JO","GupDM_JP"
"PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)",0.00021430745,0.000278576921,0.000240150997,0.000307945465,0.00037072949,0.00022588903,0.00016177198,6.797009e-05,0.00024876029,0.000416731753,0.00022953472,0.00027776341,0.000399172582,0.000295972153,0.00043242517,0.0007203836,0.00117326902,0.00078152,0.000404476,0.0006139272,0.000345472677,0.000223283615,0.00052307525,0.000422328732,0.000974373397,0.0009886074,0.00049647319,0.00057508744,0.00077540444,0.00084645883,0.00028946414,0.000556021,0.00011867943,0.00050744383,0.00037527009,0.00042957456,0.000378492,0.00042055167,0.0005697894,0.00018328991,0.0005828347,0.0006096377,0.00066645064,0.00104223958,0.00064341498,0.0002117214,0.00026879633,0.00017145217,0.00015112409,0.0001345367,0.00019742603,0.000147146127,0.000251433478,0.00015440629,0.00015390841,0.0002343095,0.00015943499,0.00016328776,0.00025105335,0.00018563346
"PWY0-1296: purine ribonucleosides degradation",0.00041373157,0.00050696625,0.0004098979499,0.000495424924,0.000464699021,0.000510634442,0.000207524369,0.00025723265,0.00027896097,0.00054400606,0.0004788994,0.00028561813,0.000511886718,0.00049566864,0.00065084286,0.00011998577,0.00031881153,0.000436644769,0.00051066893,0.00041645313,0.000313106918,0.000393944863,0.00059394031,0.00020624649,0.0001223953,2.83292e-05,0.000180236592,0.00034878807,0.0001459419,0.00043297763,0.00058765681,0.0002644199,0.00038776881,0.0003826329,0.00089546097,0.0004149605,0.00172790104,0.0003569065,0.00028660645,9.82138e-05,0.00028844071,9.512327e-05,0.000182344956,0.00016954697,0.00041245116,0.0003796164,0.0002469317,0.00018255353,0.00025685719,0.00038984233,0.00051286694,8.296974e-05,0.000237110535,0.00025868738,0.000229506099,0.00043818095,0.00016770783,0.00011794664,0.00026697849,0.000371425
"PWY-5667: CDP-diacylglycerol biosynthesis I",0.000551148272,0.00119536478,0.0007059479372,0.00047095339,0.000536145636,0.000613256293,0.00058801599,0.000307762172,0.0005970714,0.00057366666,0.00047143981,0.00063056173,0.000571515914,0.000926664901,0.00066292001,0.00035324002,0.000261682067,0.000494495072,0.0007761988,0.00037975775,0.00034303917,0.000248599134,0.00081245196,0.000451199864,0.000216073213,0.00010498392,0.00020836962,0.0005191306,0.0001547785,0.00070405429,0.00034394725,0.0005434374,0.00037515529,0.0005767632,0.00082892508,0.00045497768,0.00154207614,0.00080925689,0.00048133988,0.000233977363,0.00049675138,0.0007003372,0.00023154497,0.000325906017,0.000415130383,0.00039558528,0.000498170828,0.000410478221,0.00033071971,0.00025696356,0.000335493036,0.000674818927,0.000445047379,0.000409492794,0.000618860054,0.000442518093,0.000587126887,0.000579044059,0.00050432161,0.00034870887
"PWY0-1319: CDP-diacylglycerol biosynthesis II",0.000551148272,0.00119536478,0.0007063315372,0.00047863028,0.000540546026,0.000613256293,0.00058801599,0.000307762172,0.0005970714,0.00057366666,0.00047143981,0.00063056173,0.000571515914,0.000926664901,0.00066292001,0.00035324002,0.000261682067,0.000494495072,0.0007761988,0.00037975775,0.00034303917,0.000248599134,0.00081245196,0.000451199864,0.000216073213,0.00010498392,0.00020836962,0.0005191306,0.0001547785,0.00070405429,0.00034394725,0.0005434374,0.00037515529,0.0005767632,0.00082892508,0.00045497768,0.00154207614,0.00080925689,0.00048133988,0.000233977363,0.00049675138,0.0007003372,0.00023154497,0.000325906017,0.000415130383,0.00039558528,0.000498170828,0.000410478221,0.00033071971,0.00025696356,0.000335493036,0.000674818927,0.000445047379,0.000409492794,0.000618860054,0.000442518093,0.000587126887,0.000579044059,0.00050432161,0.00034870887
"PANTO-PWY: phosphopantothenate biosynthesis I",0.000539344353,0.000478235378,0.000462243208,0.000363579487,0.00047573551,0.00046817359,0.00063791899,0.000136611853,0.0006796641,0.000625446509,0.000429109282,0.00056200046,0.000560591615,0.000512426472,0.00094813812,0.000363104493,0.00039057888,0.000488509394,0.00073653022,0.00045089808,0.00058676791,0.000313270216,0.00081831139,0.000504696179,0.00043785303,0.000106882,0.00037986647,0.00039135531,0.000633163,0.00060943114,0.000253472411,0.0005298446,0.00042431891,0.00083241151,0.00044717921,0.00066593856,0.0019320001,0.00049177849,0.0005150262,0.000227573867,0.00039560595,0.000608791109,0.000537056,0.00039695266,0.000622289626,0.00044277222,0.00061652084,0.000513653603,0.000444110458,0.00047682919,0.00035623528,0.0007213069,0.00057168247,0.000428140928,0.000625277572,0.000465190896,0.00061290009,0.000569608612,0.000562046105,0.000400633674
"PWY-6703: preQ0 biosynthesis",0.000444355039,0.000206373618,0.000326538023,0.000296605037,0.000346152396,0.000272052962,0.000561493,9.684283e-05,0.00055398034,0.00037762112,0.00036874365,0.00032758888,0.000479544707,0.000202597445,0.00079802025,0.0004782046,0.0003217402,0.00089136505,0.00071728235,0.000546935407,0.0005917908,0.000163120602,0.000663543263,0.000575914263,0.00023026947,0.00077642067,0.00049649029,0.00054075481,0.0006515721,0.00019993709,0.000165637461,0.00074055714,0.00033311385,0.00048611181,0.00020375848,0.0006429412,0.0015416598,0.00066082515,0.00076426175,9.4303807e-05,0.0005239754,0.00057801349,0.00036990562,0.000341600578,0.000617973174,0.00046791902,0.00058069596,0.00040152456,0.000313992077,0.0003351091,0.00021798371,0.000692204248,0.00047827079,0.000287826415,0.000561003342,0.00043031738,0.000522129207,0.000516404075,0.000499830429,0.000259407266
"PWY-6897: thiamin salvage II",0.0002472933,0.000311740469,0.00025580915,0.000286197488,0.000294405674,0.00022520824,0.00019262425,7.824746e-05,0.00028903285,0.0003497443,0.0002004027,0.00028923941,0.000380308143,0.000322868857,0.0004352482,0.0007702812,0.00106781826,0.00076707556,0.00038126222,0.00059054515,0.00031700091,0.00021183643,0.00043817037,0.000437234233,0.00089567832,0.0010823819,0.00051419345,0.0004647094,0.00071123099,0.00070621725,0.00025613213,0.0005076264,0.00011538422,0.00048795257,0.00033446831,0.00038388925,0.0003793737,0.0003730909,0.0005380085,0.00018766168,0.0004429664,0.00058888795,0.00055394773,0.00098675891,0.0006063583,0.000241712,0.00030011027,0.00019798308,0.00017797272,0.0001635404,0.00018509553,0.000188810761,0.000286421367,0.000176066626,0.00019923809,0.0002549949,0.00019746675,0.00019221823,0.00028468679,0.00020377836
"PWY-3841: folate transformations II",0.000663502587,0.000333982847,0.000449788941,0.000442486178,0.00050192796,0.000536477938,0.000663312178,0.001659312868,0.00070854891,0.00100230751,0.00095364022,0.00085648839,0.000564549746,0.00034946636,0.00069162063,0.0006586255,0.00041463534,0.000789393411,0.00080265396,0.000793272166,0.00075550074,0.000608712415,0.000839489502,0.000676923177,0.00065072179,0.0006876842,0.00058805334,0.00063400237,0.00084473691,0.0004906811,0.000759329898,0.0005762162,0.00065922426,0.00088288388,0.00088893123,0.00079739054,0.00058830732,0.0007912641,0.0005611089,0.00019094981,0.00064086763,0.00076442824,0.00090194449,0.00059433689,0.000924129322,0.0010737889,0.00099330102,0.000766211481,0.00071444613,0.00103908841,0.000788292965,0.000801967306,0.000849396835,0.000836740351,0.000914938175,0.0011342519,0.000760427532,0.00076939071,0.00089255325,0.000851802702
"COA-PWY: coenzyme A biosynthesis I",0.000541491141,0.000349397688,0.0004136063274,0.000436005775,0.000396661665,0.000368370523,0.000584176219,0.00016787592,0.00054296663,0.00075016953,0.00057564704,0.00075029865,0.000563996557,0.000358957644,0.00079682499,0.00059106879,0.00050865414,0.000965030021,0.00074946312,0.00079446598,0.000677795622,0.000305848113,0.000810823557,0.000724119204,0.00038924669,0.0009657594,0.00061532135,0.00063792547,0.00102027705,0.00054579887,0.00047562274,0.00085720239,0.000412604164,0.000931665895,0.00047791338,0.00084549246,0.0012268618,0.000655392007,0.00090833051,0.000223027577,0.00061236057,0.00063637501,0.00081869431,0.000397579446,0.000850586412,0.00023433478,0.000736485155,0.000639022352,0.000576311905,0.00060181965,0.00031864131,0.00071830452,0.000658430625,0.00051141047,0.00066090168,0.00023903157,0.000672080784,0.000626445081,0.000684523542,0.000420508966
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)",0.000676958806,0.00098621603,0.0006220467428,0.000756039891,0.000794455252,0.000599654574,0.00023474738,0.00021101216,0.0001089243,0.00029858572,0.00020864856,9.973968e-05,0.000665020572,0.00099313251,0.00047955559,0.00010483769,0.00020208292,0.000231588702,0.00026813616,0.000284972432,0.00037329197,0.000289424589,0.000381722555,0.000231043185,0.00016028411,2.293432e-05,0.0003008351,0.00018319921,0.00016064941,0.000248133606,0.0002417828,0.0001088722,0.0001611868,0.00022544229,0.00018791987,0.00026588613,0.000512910642,0.00045193877,0.00011094652,0.00018046073,0.00016710897,7.273735e-05,0.00028311933,0.00026155344,0.00038593527,0.0001808663,0.00010167734,0.00025178625,0.00023972208,0.0001547336,0.00042183389,0.00011696397,0.000217695,0.00021294089,0.00015422179,0.00016470831,0.000190699223,0.00018143759,0.00020804122,0.00023313435
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)",0.00056876842,0.000413083155,0.0004659023035,0.000453239714,0.000473112661,0.000435050955,0.000633186652,0.00118222972,0.00071290773,0.00093178026,0.00096259368,0.00090641043,0.000633594144,0.000425810123,0.00091023085,0.00059876953,0.00049935636,0.000872633205,0.00088749562,0.00080205088,0.00067228124,0.000559309585,0.000988927861,0.00070241181,0.00046946439,0.0009277777,0.00062583945,0.00064370437,0.00098158808,0.00069342468,0.000607607057,0.00086264243,0.000659219262,0.000972135013,0.00087929573,0.00090254321,0.00137510803,0.000609723365,0.00090102249,0.00020520964,0.0006985172,0.00073989946,0.00082556117,0.000408676473,0.000913458969,0.00113565474,0.00077259408,0.00069663725,0.000651702113,0.00070323197,0.00069367998,0.00076566754,0.000728376558,0.000670214605,0.000793104822,0.00104867209,0.00070946385,0.000634334141,0.00073508697,0.00071761463
"PWY-6737: starch degradation V",0.00042805723,0.00086700954,0.000610948756,0.000584972862,0.000596919219,0.000597234609,0.000356822524,0.00049042392,0.0004598128,0.000813145334,0.00070359848,0.00062748095,0.00053039652,0.000904946005,0.000598801173,0.00028353239,0.00037887971,0.000395365009,0.000755866663,0.00052458342,0.00066829938,0.000465909523,0.000788156334,0.000385881328,0.000176490754,1.942299e-05,0.00025274563,0.0005521927,0.00022576347,0.00051130624,0.00059578116,0.00036061814,0.000527847497,0.00094969102,0.00114471375,0.000418233011,0.000497663128,0.0003078017985,0.000382239604,0.00021092834,0.00049798322,0.00057771531,0.00043486266,0.00023302623,0.00059837417,0.00062549007,0.000376088801,0.00025072042,0.000350591579,0.00060006597,0.00070561314,0.00028626924,0.000319800205,0.000357716912,0.00039000315,0.00073066231,0.000281579945,0.000240523993,0.000387933774,0.000595429582
"HISDEG-PWY: L-histidine degradation I",0.000470643488,0.000133391125,0.0002262142221,9.8411812e-05,0.000266753795,0.000213917845,0.00039864416,0.001030618948,0.00044521674,7.9542994e-05,0.000436094665,0.00042128134,0.000223995483,0.000135273116,0.00026132105,3.633065e-05,0,0.00017117387,0.00048325617,8.200272e-05,6.3246536e-05,0.000223717017,0.000401780598,9.8825236e-05,6.40025e-05,3.641166e-05,6.456121e-05,2.892786e-05,0.000141665,2.75429e-05,4.9182325e-05,1.235739e-05,0.000191692444,0.000441410677,0.00027425417,0.000231253957,6.596964e-05,0.00024903595,1.612915e-05,6.5260633e-05,4.558607e-05,0.000536810054,0.00016406203,0.00011418288,7.0692608e-05,0.00063914046,0.00032889352,0.000475951146,0.000424340605,0.00054475696,0.00032614064,0.000420276426,0.000392852354,0.000488628929,0.000496171117,0.000649951,0.000479935527,0.000431147292,0.000361254545,0.00035792262
"PWY-6124: inosine-5'-phosphate biosynthesis II",0.000471014535,0.00022642836,0.0003308287462,0.000382198883,0.000258251948,0.00038233078,0.000406977802,0.00104074301,0.00067312696,0.000751690382,0.00063799176,0.00065320018,0.000343725715,0.0002241855025,0.00030330534,3.731237e-05,0.000175410697,0.00020249494,0.000708530667,0.00025592501,0.000280979032,0.00042662619,0.000659031301,0.000275756263,0.000200662192,4.283528e-05,1.629916e-05,0.00041740776,0.0001273142,0.00017192988,0.000244349409,0.0004293722,0.00025806579,0.00069938927,0.0004168988,0.00039280448,0.00032444336,0.0003630706,0.000401483057,0.000123439995,0.00043255846,0.00068508166,0.00016908045,0.00015222092,0.000433485,0.000724389074,0.000434652235,0.000435361665,0.000381091866,0.00045198676,0.00049754942,0.000532329223,0.000403931308,0.000380981324,0.000534910447,0.00076316953,0.000497018287,0.000457535848,0.000425702195,0.000522257601
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",0.000500486229,0.000519341811,0.000529081239,0.000624015321,0.000522372979,0.000511018743,0.00055519424,0.001083638894,0.00080508966,0.00096348602,0.00074680642,0.00076053272,0.000584098744,0.000546676482,0.000580610849,0.00025114152,0.00032798446,0.000468734221,0.00078694496,0.000455342762,0.00052191781,0.000459301039,0.000854282754,0.000389082315,0.000343308122,0.0001438497,0.00033396628,0.00061894217,0.0002877346,0.00050377728,0.000455877269,0.00062125871,0.000446776,0.00081815378,0.00104811157,0.0007947929,0.0011146157,0.00049735255,0.00054220669,0.000234418054,0.00059585725,0.00067386765,0.00054991821,0.000324467775,0.000699948691,0.00074795864,0.00065403432,0.000518275475,0.000440147917,0.00056194233,0.00068606982,0.00057158508,0.000535595648,0.000419672097,0.000534469635,0.00083341327,0.000488006234,0.000474664557,0.000550044932,0.000569886739
"PWY-6123: inosine-5'-phosphate biosynthesis I",0.000507699322,0.000280767547,0.0003598756752,0.000419487969,0.000348406893,0.000413385049,0.00044084502,0.00102580341,0.0006589945,0.000789884589,0.000639457681,0.00067309084,0.000380662884,0.000280870984,0.000323781928,4.42557e-05,0.00019823615,0.00023048146,0.000724817778,0.00028524335,0.000310633946,0.000435403956,0.000677631552,0.000301786972,0.000225250494,5.020535e-05,8.686131e-05,0.00045945595,0.0001484983,0.00023671133,0.000261153453,0.00046839801,0.00027334551,0.00075336245,0.00045831513,0.00042341,0.00037430366,0.0004057657,0.0004348287,0.000145643642,0.00047617606,0.00069836435,0.0001929364,0.00017266657,0.000469638,0.000739424824,0.000475251025,0.000464055271,0.000394141241,0.00048801527,0.00051828993,0.000549117988,0.000440352303,0.00039630767,0.000562945947,0.00077551677,0.00051382342,0.000468829451,0.000450280385,0.000541981848
